record_id,case_id,model,exact_contrast_id,optimizer,moment_state,state_protocol,parameter_scope,measurement_geometry,comparison_identity_sha256,horizon_steps,horizon_class,fb_formation,optimizer_transformation,short_horizon,long_run,feedback,training_convergence,status,abstention_reason,source_paths
unified_adamw32::multishape-backward-cell-0153,multishape-backward-cell-0153,/data1/tzh/models/deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,backward:1874:out_ptr0,"AdamW(beta1=0.9,beta2=0.95,eps=1e-8,weight_decay=0)",ZERO_THEN_EVOLVED_NORMALLY,32-step result-blind/common-optimizer cohort,model.layers.0.self_attn.k_norm.weight,FULL_VECTOR_GRAM_ON_DECLARED_CARRIER,698fd982a26a41bc3ae4650ffec3cf9972cdb8c428328bd92a935736e2ca39fc,32,SHORT_HORIZON,NOT_APPLICABLE,MEASURED_ADAMW_EFFECTIVE_UPDATE,NO_CONFIRMED_32_STEP_DIRECT_DIRECTION,NOT_MEASURED,COMPLETE,NOT_MEASURED,NO_CONFIRMED_32_STEP_DIRECT_DIRECTION,,results/property/direct_persistence_v4/cohort.json;results/property/joint_bias_formation_v1/consequence/deepseek8b_seq64_multishape-backward-cell-0153.json
unified_adamw32::multishape-backward-cell-0190,multishape-backward-cell-0190,/data1/tzh/models/deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,backward:868:out_ptr0,"AdamW(beta1=0.9,beta2=0.95,eps=1e-8,weight_decay=0)",ZERO_THEN_EVOLVED_NORMALLY,32-step result-blind/common-optimizer cohort,model.layers.30.self_attn.q_norm.weight,FULL_VECTOR_GRAM_ON_DECLARED_CARRIER,332e8698950e0e416e558c28f614d7c3807397f96830c597a18a0c471fe2b8df,32,SHORT_HORIZON,NOT_APPLICABLE,MEASURED_ADAMW_EFFECTIVE_UPDATE,NO_CONFIRMED_32_STEP_DIRECT_DIRECTION,NOT_MEASURED,COMPLETE,NOT_MEASURED,NO_CONFIRMED_32_STEP_DIRECT_DIRECTION,,results/property/direct_persistence_v4/cohort.json;results/property/joint_bias_formation_v1/consequence/deepseek8b_seq64_multishape-backward-cell-0190.json
unified_adamw32::multishape-backward-cell-0191,multishape-backward-cell-0191,/data1/tzh/models/deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,backward:1276:out_ptr0,"AdamW(beta1=0.9,beta2=0.95,eps=1e-8,weight_decay=0)",ZERO_THEN_EVOLVED_NORMALLY,32-step result-blind/common-optimizer cohort,model.layers.18.self_attn.q_norm.weight,FULL_VECTOR_GRAM_ON_DECLARED_CARRIER,82338f8e513a177ac58c7697296f4cc308d85f3f0552e4c644e806530c277dc0,32,SHORT_HORIZON,NOT_APPLICABLE,MEASURED_ADAMW_EFFECTIVE_UPDATE,NO_CONFIRMED_32_STEP_DIRECT_DIRECTION,NOT_MEASURED,COMPLETE,NOT_MEASURED,NO_CONFIRMED_32_STEP_DIRECT_DIRECTION,,results/property/direct_persistence_v4/cohort.json;results/property/joint_bias_formation_v1/consequence/deepseek8b_seq64_multishape-backward-cell-0191.json
unified_adamw32::multishape-backward-cell-0450,multishape-backward-cell-0450,/data1/tzh/models/state-spaces/mamba-130m-hf,backward:5602:out_ptr0,"AdamW(beta1=0.9,beta2=0.95,eps=1e-8,weight_decay=0)",ZERO_THEN_EVOLVED_NORMALLY,32-step result-blind/common-optimizer cohort,backbone.layers.19.mixer.dt_proj.bias,FULL_VECTOR_GRAM_ON_DECLARED_CARRIER,c1b34dd080df70b8175c74a33cd9e224af1e54b2e3d3e8db0d58172c3e88925d,32,SHORT_HORIZON,NOT_APPLICABLE,MEASURED_ADAMW_EFFECTIVE_UPDATE,NO_CONFIRMED_32_STEP_DIRECT_DIRECTION,NOT_MEASURED,COMPLETE,NOT_MEASURED,NO_CONFIRMED_32_STEP_DIRECT_DIRECTION,,results/property/direct_persistence_v4/cohort.json;results/property/joint_bias_formation_v1/consequence/mamba_seq64_multishape-backward-cell-0450.json
unified_adamw32::multishape-backward-cell-0501,multishape-backward-cell-0501,/data1/tzh/models/microsoft/Phi-4-mini-instruct,backward:1136:out_ptr0,"AdamW(beta1=0.9,beta2=0.95,eps=1e-8,weight_decay=0)",ZERO_THEN_EVOLVED_NORMALLY,32-step result-blind/common-optimizer cohort,model.layers.0.post_attention_layernorm.weight,FULL_VECTOR_GRAM_ON_DECLARED_CARRIER,1a308119dd53e43f66fe26be87fc47a694d43f213f4a58080235d9d40915fc46,32,SHORT_HORIZON,NOT_APPLICABLE,MEASURED_ADAMW_EFFECTIVE_UPDATE,NO_CONFIRMED_32_STEP_DIRECT_DIRECTION,NOT_MEASURED,COMPLETE,NOT_MEASURED,NO_CONFIRMED_32_STEP_DIRECT_DIRECTION,,results/property/direct_persistence_v4/cohort.json;results/property/joint_bias_formation_v1/consequence/phi4_seq128_multishape-backward-cell-0501.json
unified_adamw32::multishape-backward-cell-0508,multishape-backward-cell-0508,/data1/tzh/models/microsoft/Phi-4-mini-instruct,backward:606:out_ptr0,"AdamW(beta1=0.9,beta2=0.95,eps=1e-8,weight_decay=0)",ZERO_THEN_EVOLVED_NORMALLY,32-step result-blind/common-optimizer cohort,model.layers.26.post_attention_layernorm.weight,FULL_VECTOR_GRAM_ON_DECLARED_CARRIER,c7a34b49aede7ce7eae3ab0b8336501071f9b816291b945700e13d327a83d45f,32,SHORT_HORIZON,NOT_APPLICABLE,MEASURED_ADAMW_EFFECTIVE_UPDATE,NO_CONFIRMED_32_STEP_DIRECT_DIRECTION,NOT_MEASURED,COMPLETE,NOT_MEASURED,NO_CONFIRMED_32_STEP_DIRECT_DIRECTION,,results/property/direct_persistence_v4/cohort.json;results/property/joint_bias_formation_v1/consequence/phi4_seq128_multishape-backward-cell-0508.json
unified_adamw32::multishape-backward-cell-0543,multishape-backward-cell-0543,/data1/tzh/models/microsoft/Phi-4-mini-instruct,backward:497:out_ptr0,"AdamW(beta1=0.9,beta2=0.95,eps=1e-8,weight_decay=0)",ZERO_THEN_EVOLVED_NORMALLY,32-step result-blind/common-optimizer cohort,model.norm.weight,FULL_VECTOR_GRAM_ON_DECLARED_CARRIER,de3c0eb0b89fc34944a7aab4494a79ad250441d792f4233d0eeb201e9f32aa5a,32,SHORT_HORIZON,NOT_APPLICABLE,MEASURED_ADAMW_EFFECTIVE_UPDATE,UNRESOLVED_MULTIPLICITY_CANDIDATE,NOT_MEASURED,COMPLETE,NOT_MEASURED,UNRESOLVED_MULTIPLICITY_CANDIDATE,multiplicity correction,results/property/direct_persistence_v4/cohort.json;results/property/joint_bias_formation_v1/consequence/phi4_seq256_multishape-backward-cell-0543.json
unified_adamw32::multishape-backward-cell-0654,multishape-backward-cell-0654,/data1/tzh/models/Qwen/Qwen3-1.7B,backward:675:output_0,"AdamW(beta1=0.9,beta2=0.95,eps=1e-8,weight_decay=0)",ZERO_THEN_EVOLVED_NORMALLY,32-step result-blind/common-optimizer cohort,model.layers.23.input_layernorm.weight,FULL_VECTOR_GRAM_ON_DECLARED_CARRIER,72c867bd4d2933fb992fd2ce8500901c54bcd5a7ccc683827fcf2186f694ff14,32,SHORT_HORIZON,NOT_APPLICABLE,MEASURED_ADAMW_EFFECTIVE_UPDATE,NO_CONFIRMED_32_STEP_DIRECT_DIRECTION,NOT_MEASURED,COMPLETE,NOT_MEASURED,NO_CONFIRMED_32_STEP_DIRECT_DIRECTION,,results/property/direct_persistence_v4/cohort.json;results/property/joint_bias_formation_v1/consequence/qwen_seq256_multishape-backward-cell-0654.json
unified_adamw32::multishape-backward-cell-0745,multishape-backward-cell-0745,/data1/tzh/models/Qwen/Qwen3-1.7B,backward:699:in_out_ptr0,"AdamW(beta1=0.9,beta2=0.95,eps=1e-8,weight_decay=0)",ZERO_THEN_EVOLVED_NORMALLY,32-step result-blind/common-optimizer cohort,model.layers.22.self_attn.q_norm.weight,FULL_VECTOR_GRAM_ON_DECLARED_CARRIER,91c3727d4d34793a1a28c331716e864277b3f9eb34656a375d1286917ae943f9,32,SHORT_HORIZON,NOT_APPLICABLE,MEASURED_ADAMW_EFFECTIVE_UPDATE,NO_CONFIRMED_32_STEP_DIRECT_DIRECTION,NOT_MEASURED,COMPLETE,NOT_MEASURED,NO_CONFIRMED_32_STEP_DIRECT_DIRECTION,,results/property/direct_persistence_v4/cohort.json;results/property/joint_bias_formation_v1/consequence/qwen_seq64_multishape-backward-cell-0745.json
unified_adamw32::multishape-backward-cell-0747,multishape-backward-cell-0747,/data1/tzh/models/Qwen/Qwen3-1.7B,backward:1429:out_ptr0,"AdamW(beta1=0.9,beta2=0.95,eps=1e-8,weight_decay=0)",ZERO_THEN_EVOLVED_NORMALLY,32-step result-blind/common-optimizer cohort,model.layers.0.self_attn.k_norm.weight,FULL_VECTOR_GRAM_ON_DECLARED_CARRIER,63dca29654d4d306af3f42a77e2a22272399003eccaf5ecc8ae0401f3556668a,32,SHORT_HORIZON,NOT_APPLICABLE,MEASURED_ADAMW_EFFECTIVE_UPDATE,NO_CONFIRMED_32_STEP_DIRECT_DIRECTION,NOT_MEASURED,COMPLETE,NOT_MEASURED,NO_CONFIRMED_32_STEP_DIRECT_DIRECTION,,results/property/direct_persistence_v4/cohort.json;results/property/joint_bias_formation_v1/consequence/qwen_seq64_multishape-backward-cell-0747.json
unified_adamw32::qwen_seq128_lmhead_dx,qwen_seq128_lmhead_dx,/data1/tzh/models/Qwen/Qwen3-1.7B,backward:517:output_0,"AdamW(beta1=0.9,beta2=0.95,eps=1e-8,weight_decay=0)",ZERO_THEN_EVOLVED_NORMALLY,32-step result-blind/common-optimizer cohort,model.norm.weight,FULL_VECTOR_GRAM_ON_DECLARED_CARRIER,0fd078258f5df069bc2ab7ec93ef7e21a10a5d6199a4f4d635102a4595671636,32,SHORT_HORIZON,NOT_APPLICABLE,MEASURED_ADAMW_EFFECTIVE_UPDATE,NO_CONFIRMED_32_STEP_DIRECT_DIRECTION,NOT_MEASURED,COMPLETE,NOT_MEASURED,NO_CONFIRMED_32_STEP_DIRECT_DIRECTION,,results/property/direct_persistence_v4/cohort.json;results/property/joint_bias_formation_v1/oracle_repair_v3/qwen_seq128_adamw_consequence32_with_stages.json
unified_adamw32::phi4_seq64_lmhead_dx,phi4_seq64_lmhead_dx,/data1/tzh/models/microsoft/Phi-4-mini-instruct,backward:497:output_0,"AdamW(beta1=0.9,beta2=0.95,eps=1e-8,weight_decay=0)",ZERO_THEN_EVOLVED_NORMALLY,32-step result-blind/common-optimizer cohort,model.norm.weight,FULL_VECTOR_GRAM_ON_DECLARED_CARRIER,47b7a02b0a1dbfe114566c367c6c5618af90ed7535da94a1320299df7339e231,32,SHORT_HORIZON,NOT_APPLICABLE,MEASURED_ADAMW_EFFECTIVE_UPDATE,CONFIRMED_32_STEP_DIRECTIONAL,NOT_MEASURED,COMPLETE,NOT_MEASURED,CONFIRMED_32_STEP_DIRECTIONAL,,results/property/direct_persistence_v4/cohort.json;results/property/joint_bias_formation_v1/oracle_repair_v3/phi_seq64_adamw_consequence32.json
unified_adamw32::liger_fused_ce_t128,liger_fused_ce_t128,qwen3-1p7b,liger_fused_ce_t128,"AdamW(beta1=0.9,beta2=0.95,eps=1e-8,weight_decay=0)",ZERO_THEN_EVOLVED_NORMALLY,32-step result-blind/common-optimizer cohort,model.embed_tokens.weight,FULL_VECTOR_GRAM_ON_DECLARED_CARRIER,34c5a4c7d6f96795a71f7bbfe4dd37fb46aee8a284fab40bd57a482b4edb683e,32,SHORT_HORIZON,NOT_EVALUATED,MEASURED_ADAMW_EFFECTIVE_UPDATE,CONFIRMED_32_STEP_DIRECTIONAL,NOT_MEASURED,MEASURED_SEPARATELY,NOT_MEASURED,CONFIRMED_32_STEP_DIRECTIONAL,,results/property/direct_persistence_v4/cohort.json;results/property/joint_bias_formation_v1/oracle_repair_v3/liger_adamw_consequence32.json
prospective_gemma32::gemma4_random_softmax_backward,gemma4_random_softmax_backward,google/gemma-4-E2B,backward:1880/in_out_ptr0,AdamW; see consequence artifact,ZERO_THEN_EVOLVED_NORMALLY,prediction frozen before independent 32-step trajectory,model.language_model.layers.0.self_attn.k_norm.weight,FULL_VECTOR_STATISTICS_NO_RAW_GRAM,69b864152c445283c847b1febc606ca5474bb2715c43fdf370d5d587045ccb31,32,SHORT_HORIZON_PROSPECTIVE,NO_SOURCE_PERSISTENCE_UNDER_PROTOCOL,MEASURED_IN_LIVE_ADAMW_TRAJECTORY,NOT_APPLICABLE_NO_OBSERVED_CARRIER_EFFECT,NOT_MEASURED,NO_FEEDBACK_DIRECTION_DETECTED,NOT_MEASURED,NOT_APPLICABLE_NO_OBSERVED_CARRIER_EFFECT,This is a fresh in-process Gemma implementation check. The source score was frozen before the paired trajectory. A negative direct score does not prove full training safety; a large actual score with local_A32 near one is reported as feedback-sustained.,results/property/direct_persistence_v4/heldout_confirmation_v2.json;results/property/direct_persistence_v4/heldout/gemma4_random_softmax_backward.consequence.json
prospective_gemma32::gemma4_random_gelu_loss_backward,gemma4_random_gelu_loss_backward,google/gemma-4-E2B,backward:1401/out_ptr3,AdamW; see consequence artifact,ZERO_THEN_EVOLVED_NORMALLY,prediction frozen before independent 32-step trajectory,model.language_model.per_layer_model_projection.weight,FULL_VECTOR_STATISTICS_NO_RAW_GRAM,99ebf4d9123551b91c723dba55dfbe65330b3c120d8943c46158d671ef33f19e,32,SHORT_HORIZON_PROSPECTIVE,NO_SOURCE_PERSISTENCE_UNDER_PROTOCOL,MEASURED_IN_LIVE_ADAMW_TRAJECTORY,NO_32_STEP_DIRECT_DIRECTION,NOT_MEASURED,FEEDBACK_SUSTAINED,NOT_MEASURED,COMPLETE_NEW_IMPL_FEEDBACK_CONTROL,This is a fresh in-process Gemma implementation check. The source score was frozen before the paired trajectory. A negative direct score does not prove full training safety; a large actual score with local_A32 near one is reported as feedback-sustained.,results/property/direct_persistence_v4/heldout_confirmation_v2.json;results/property/direct_persistence_v4/heldout/gemma4_random_gelu_loss_backward.consequence.json
prospective_gemma32::gemma4_random_gelu_backward1860,gemma4_random_gelu_backward1860,google/gemma-4-E2B,backward:1860/in_out_ptr0,AdamW; see consequence artifact,ZERO_THEN_EVOLVED_NORMALLY,prediction frozen before independent 32-step trajectory,model.language_model.per_layer_model_projection.weight,FULL_VECTOR_STATISTICS_NO_RAW_GRAM,e1154a109eaf9c8e4d339df05983a6ff1da969acde55e6175e00dca45c2863b4,32,SHORT_HORIZON_PROSPECTIVE,NO_SOURCE_PERSISTENCE_UNDER_PROTOCOL,MEASURED_IN_LIVE_ADAMW_TRAJECTORY,NOT_APPLICABLE_NO_OBSERVED_CARRIER_EFFECT,NOT_MEASURED,NO_FEEDBACK_DIRECTION_DETECTED,NOT_MEASURED,NOT_APPLICABLE_NO_OBSERVED_CARRIER_EFFECT,This is a fresh in-process Gemma implementation check. The source score was frozen before the paired trajectory. A negative direct score does not prove full training safety; a large actual score with local_A32 near one is reported as feedback-sustained.,results/property/direct_persistence_v4/heldout_confirmation_v2.json;results/property/direct_persistence_v4/heldout/gemma4_random_gelu_backward1860.consequence.json
warm_adamw512::phi4_seq64_lmhead_dx,phi4_seq64_lmhead_dx,Phi-4-mini,DETERMINISTIC_BF16_MINUS_FP32_CAST_REPAIR,"{""betas"": [0.9, 0.95], ""epsilon"": 1e-08, ""initial_moments"": ""WARMED_ON_NATURAL_IMPLEMENTATION"", ""learning_rate"": 0.0001, ""moments_reset_after_warmup"": false, ""name"": ""AdamW""}",WARMED_ON_NATURAL_IMPLEMENTATION,128 warmup + 512 fresh natural measurement states,model.norm.weight,FULL_VECTOR_GRAM,131f601364cbfce71bd4de5e23d3b5f95b4497413b751600a60e073bd48fdff7,512,MEDIUM_HORIZON_WARM_STATE,EXACT_REPAIR_BOUND,ADAMW_WARM_STATE_DIRECT_EFFECT,ALL_16_DISJOINT_32_STEP_WINDOWS_ABOVE_NULL,512_STEP_DIRECT_DIRECTIONAL,UNMEASURED_BY_THIS_DIRECT_ONLY_PROTOCOL,NOT_MEASURED,WARM_STATE_512_STEP_DIRECT_DIRECTIONAL,,results/property/long_horizon_v2/phi_warm128_measure512.json;results/property/long_horizon_v2/phi_warm128_measure512.gram.npz
constant_lr4096::phi4_seq64_lmhead_dx,phi4_seq64_lmhead_dx,Phi-4-mini,compiled BF16 lm_head dX vs FP32-cast repair,"{""betas"": [0.9, 0.95], ""epsilon"": 1e-08, ""initial_moments"": ""ZERO_THEN_EVOLVED_SEPARATELY_PER_ARM"", ""learning_rate"": 0.0001, ""name"": ""AdamW""}",SEPARATE_LIVE_MOMENTS_PER_ARM,32-state frozen train cycle + 8 held-out validation states,model.norm.weight,PAIRED_LIVE_FIXED_CARRIER,ca846d2a5dc4ee5e35554336e212b84cc9a1284ec031b381b9bf5a777a5d5b85,4096,CONVERGENCE_ATTEMPT,NOT_REESTIMATED,LIVE_ADAMW_PER_ARM,NOT_PRIMARY_OUTCOME,PARAMETER_SEPARATION_MEASURED,PRESENT_BUT_NOT_DECOMPOSED,MAX_STEPS_WITHOUT_FROZEN_LOSS_PLATEAU,MAX_STEPS_WITHOUT_FROZEN_LOSS_PLATEAU,frozen loss plateau gate not reached,results/property/convergence_v1/phi_carrier_adamw_convergence.json
cosine_lr4096::phi4_seq64_lmhead_dx,phi4_seq64_lmhead_dx,Phi-4-mini,compiled BF16 lm_head dX vs FP32-cast repair,"{""betas"": [0.9, 0.95], ""epsilon"": 1e-08, ""initial_moments"": ""ZERO_THEN_EVOLVED_SEPARATELY_PER_ARM"", ""learning_rate"": 0.0001, ""name"": ""AdamW"", ""schedule"": ""cosine""}",SEPARATE_LIVE_MOMENTS_PER_ARM,32-state frozen train cycle + 8 held-out validation states,model.norm.weight,PAIRED_LIVE_FIXED_CARRIER,94bcec50708f8c618defec09486b58cd54ef2155f49b98dbb376296b7214b099,4096,CONVERGENCE_ATTEMPT,NOT_REESTIMATED,LIVE_ADAMW_PER_ARM,NOT_PRIMARY_OUTCOME,PARAMETER_SEPARATION_MEASURED,PRESENT_BUT_NOT_DECOMPOSED,MAX_STEPS_WITHOUT_FROZEN_LOSS_PLATEAU,MAX_STEPS_WITHOUT_FROZEN_LOSS_PLATEAU,frozen loss plateau gate not reached,results/property/convergence_v2/phi_carrier_adamw_cosine_convergence.json
