population_id,population_kind,case_id,candidate_id,model,sequence_length,phase,mathematical_operation,implementation_kind,exact_endpoint_or_region,proof_unit_bound,legacy_observed_role,legacy_observed_verdict,legacy_flash_verdict,legacy_generalizable_verdict,legacy_evidence,legacy_evidence_only,claim_boundary,formation_local,formation_parameter_gradient,formation_effective_update,first_confirmed_bias_stage,formation_label_source
case::qwen_vproj_seq128,KNOWN_STRICT_CASE,qwen_vproj_seq128,,qwen3_1p7b,128,,,,model.layers.0.self_attn.v_proj.output,qwen_seq128_forward_8_output,NONPERSISTENT_SOURCE_BOUNDARY,FAIL_CROSS_STATE_CARRIER_NONCOHERENT,FAIL_DIRECTIONAL_ACCUMULATION,FAIL_CROSS_STATE_CARRIER_NONCOHERENT,results/coverage/cases/qwen128_vproj.json;results/coverage/cases/qwen128_vproj_trajectory.json;roster_bound.json;feasibility=BLOCKED;source_status=M3_OUTPUT_ROUNDING_CAUSAL_BOUNDARY;existing_case_reaudit.json,true,Known strict/anchor case retained for the denominator; formation stages remain PENDING until v2.1 capture.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
case::seq128_lm_head_input_vjp_mm,KNOWN_STRICT_CASE,seq128_lm_head_input_vjp_mm,,,,,,,seq128_lm_head_input_vjp_mm,,,FAIL_CROSS_STATE_NONCOHERENT,PASS_FLASH_STYLE_CASE,FAIL_CROSS_STATE_NONCOHERENT,roster_bound.json;feasibility=;source_status=;existing_case_reaudit.json,true,Known strict/anchor case retained for the denominator; formation stages remain PENDING until v2.1 capture.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:backward:1058:out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq128:backward:1058:out_ptr0,deepseek8b,128,BACKWARD,mul,TRITON,backward:graph0:mul_1019,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_LOCAL_DIRECTIONAL_DIFFERENCE,,,hypothesis_matrix.json; math_proof_row_sha256=4698808a37326aaff31d2ca1841a32d9a126dbb82a5c9d5b729364b5c008a4d8,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:backward:1257:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq128:backward:1257:in_out_ptr0,deepseek8b,128,BACKWARD,mul,TRITON,backward:graph0:mul_1282,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_LOCAL_DIRECTIONAL_DIFFERENCE,,,hypothesis_matrix.json; math_proof_row_sha256=65acd47af79e56a96ac841eedb7e7628f7c2dca1f5ddbb5be4af593f9b905834,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:backward:1399:out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq128:backward:1399:out_ptr0,deepseek8b,128,BACKWARD,add,TRITON,backward:graph0:add_684,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=80239dc9f3e8f9ba1abc0f7aff1cf43985b2ad2d856de8302a1171fc26f1bcc0,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:backward:864:output_0,ENDPOINT_UNIT,,deepseek8b:seq128:backward:864:output_0,deepseek8b,128,BACKWARD,mm,EXTERN,backward:graph0:mm_335,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_LOCAL_DIRECTIONAL_DIFFERENCE,,,hypothesis_matrix.json; math_proof_row_sha256=31b3054b2b90c47dea075e20be26ec900d4fd0575bad674c8017c26abb4179eb,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:backward:930:output_0,ENDPOINT_UNIT,,deepseek8b:seq128:backward:930:output_0,deepseek8b,128,BACKWARD,mm,EXTERN,backward:graph0:mm_366,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=9141f1b4743ce5f2db15580702e5092c6c184b955195763d302763162d7535bd,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:0:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq128:forward:0:in_out_ptr0,deepseek8b,128,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=6dded88f9c2089dece9743e03a84af1501de68fb0fed33ca94d5cf0045188e99,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:100:output_0,ENDPOINT_UNIT,,deepseek8b:seq128:forward:100:output_0,deepseek8b,128,FORWARD,bmm,EXTERN,forward:graph0:bmm_10,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=a4dd11a101b38e0eeaed636fe5ec68febd85a1337514d4ed69de220dde60433e,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:101:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq128:forward:101:in_out_ptr0,deepseek8b,128,FORWARD,add,TRITON,forward:graph0:add_56,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=232462eea320207221e2ebd9845c08511e5aa4ad2686d9f074ef80579a715843,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:106:in_out_ptr1,ENDPOINT_UNIT,,deepseek8b:seq128:forward:106:in_out_ptr1,deepseek8b,128,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_23,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=903103ccda4f9b79aa0a10d183dd569066e702532164ff046a93165cdc308b53,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:10:output_0,ENDPOINT_UNIT,,deepseek8b:seq128:forward:10:output_0,deepseek8b,128,FORWARD,bmm,EXTERN,forward:graph0:bmm,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=73c629aa8db99af2f79c85f6b3c52618d926bd87acda7334874da7307a6548bc,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:111:in_out_ptr1,ENDPOINT_UNIT,,deepseek8b:seq128:forward:111:in_out_ptr1,deepseek8b,128,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_24,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=a4e09f294de7564fe890d27dc8fab2cdfd8f98c339e4fb43880115693e416d1e,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:113:out_ptr2,ENDPOINT_UNIT,,deepseek8b:seq128:forward:113:out_ptr2,deepseek8b,128,FORWARD,permute,TRITON,forward:graph0:permute_1530,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=df995434687318e23ddfd1f3bb1f0990ed41c8bf003db44a0a0e2fb37b8f81b8,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:115:in_out_ptr1,ENDPOINT_UNIT,,deepseek8b:seq128:forward:115:in_out_ptr1,deepseek8b,128,FORWARD,add,TRITON,forward:graph0:add_65,true,COHERENT_F_B_BIAS,OBSERVED_T3_COHERENT_COMPLETE_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=e0f26225d13d66bfc5ade8028579f73acd6c15f10677ce23c75918f7960493af,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:117:out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq128:forward:117:out_ptr0,deepseek8b,128,FORWARD,clone,TRITON,forward:graph0:clone_26,true,COHERENT_F_B_BIAS,OBSERVED_T3_COHERENT_COMPLETE_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=5474b1de0bceb5f134b8c66260b8f307cc82cd512f0337487e8008db3730665c,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:118:output_0,ENDPOINT_UNIT,,deepseek8b:seq128:forward:118:output_0,deepseek8b,128,FORWARD,bmm,EXTERN,forward:graph0:bmm_12,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=59912ec642b0c2aef8368e13fd8aeb297602b31595862085589253122e33d1b0,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:119:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq128:forward:119:in_out_ptr0,deepseek8b,128,FORWARD,add,TRITON,forward:graph0:add_66,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=08d148f99a465cc389cf1b1345767bb1871cd44944498a5a8c44964bd19cf2b3,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:11:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq128:forward:11:in_out_ptr0,deepseek8b,128,FORWARD,add,TRITON,forward:graph0:add_6,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=221b05967b2111dd449545112cd5256fa0cf7596b30ca591e12a7f700ae6e324,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:124:in_out_ptr1,ENDPOINT_UNIT,,deepseek8b:seq128:forward:124:in_out_ptr1,deepseek8b,128,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_27,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=80da8a4c90e26ab024fcff466698be007e71dd61a748819391e28187ae1c2bd2,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:131:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq128:forward:131:in_out_ptr0,deepseek8b,128,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_29,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_LOCAL_DIRECTIONAL_DIFFERENCE,,,hypothesis_matrix.json; math_proof_row_sha256=620609329de4298cfa1bcad29ac7f6f9cb6f9710443bfe66cebc20dbaefdff58,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:136:output_0,ENDPOINT_UNIT,,deepseek8b:seq128:forward:136:output_0,deepseek8b,128,FORWARD,bmm,EXTERN,forward:graph0:bmm_14,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=dc114314f6f4011e18bd8632e680154c00d75a2b315b124aa69427f47e524be8,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:137:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq128:forward:137:in_out_ptr0,deepseek8b,128,FORWARD,add,TRITON,forward:graph0:add_76,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=731becd67713f9c310d3a71077c5ae901c9c4618dbdfa90a07836bc81796b1a7,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:13:output_0,ENDPOINT_UNIT,,deepseek8b:seq128:forward:13:output_0,deepseek8b,128,FORWARD,bmm,EXTERN,forward:graph0:bmm_1,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=2a3d150ad841478187fba1a242c080be6daa8241faae7e6c0183fcfaf02b70b0,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:142:in_out_ptr1,ENDPOINT_UNIT,,deepseek8b:seq128:forward:142:in_out_ptr1,deepseek8b,128,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_31,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=74b41127213a3abb4adb96d9c70a508de9c4cdc552f4847fdf22b7214178de07,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:147:in_out_ptr1,ENDPOINT_UNIT,,deepseek8b:seq128:forward:147:in_out_ptr1,deepseek8b,128,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_32,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=93eac143d3927f2d73fd718dd90b2f3d4b4c3ac677b0103a0df18e498e27fcf1,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:151:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq128:forward:151:in_out_ptr0,deepseek8b,128,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_34,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=a7dae65a0d8fba1e628f440dfe4a124d7e7ada430033e663b884c01f2b990371,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:154:output_0,ENDPOINT_UNIT,,deepseek8b:seq128:forward:154:output_0,deepseek8b,128,FORWARD,bmm,EXTERN,forward:graph0:bmm_16,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=1d08500e920171b7224babf3fcc98b27d288dc489a753dfc387df5b7387be717,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:155:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq128:forward:155:in_out_ptr0,deepseek8b,128,FORWARD,add,TRITON,forward:graph0:add_86,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=e3570df5a37da10fc53c8df78388c95753ac977a5402d0dd73208af80bde5659,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:157:output_0,ENDPOINT_UNIT,,deepseek8b:seq128:forward:157:output_0,deepseek8b,128,FORWARD,bmm,EXTERN,forward:graph0:bmm_17,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=0bb8b7b117cfa78f3e114d80294aed53f3e7498fb807887f4981e5ba2ed7676e,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:158:out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq128:forward:158:out_ptr0,deepseek8b,128,FORWARD,clone,TRITON,forward:graph0:clone_37,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=59fd5ccdcdb1378a91d5cc5cded9be86d335ef706b75e189cb34760b42d18ccd,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:159:output_0,ENDPOINT_UNIT,,deepseek8b:seq128:forward:159:output_0,deepseek8b,128,FORWARD,mm,EXTERN,forward:graph0:mm_59,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=35939c0a3cb2ecfc767ff1571433b8078f8e0c821d624c2a345a7895ef474679,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:160:in_out_ptr1,ENDPOINT_UNIT,,deepseek8b:seq128:forward:160:in_out_ptr1,deepseek8b,128,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_35,true,COHERENT_F_B_BIAS,OBSERVED_T3_COHERENT_COMPLETE_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=5f95a96c6d5e49960c2333dd2e1998367126025cdae8136485253f5786e150fb,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:161:output_0,ENDPOINT_UNIT,,deepseek8b:seq128:forward:161:output_0,deepseek8b,128,FORWARD,mm,EXTERN,forward:graph0:mm_60,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=36e26d94bac8f868d66fbc9df4801150df8b5d8e415c183bc995e361bef2cec6,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:165:in_out_ptr1,ENDPOINT_UNIT,,deepseek8b:seq128:forward:165:in_out_ptr1,deepseek8b,128,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_36,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=85815d81a53f17bc7221d365e9379b2c2b1c1bf0683e52aecd1d98fc49e66cc0,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:167:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq128:forward:167:in_out_ptr0,deepseek8b,128,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_37,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=1999a85f8501cf1fd6ca65b32216e627ebc9150f557209b35bfd5cf4a38c7d04,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:167:out_ptr2,ENDPOINT_UNIT,,deepseek8b:seq128:forward:167:out_ptr2,deepseek8b,128,FORWARD,permute,TRITON,forward:graph0:permute_1419,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=91a722f28f19e747c26ef6f87f2d153cc792dce5901753793f596024c3b23f71,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
endpoint::deepseek8b:seq128:forward:169:in_out_ptr0,ENDPOINT_UNIT,,deepseek8b:seq128:forward:169:in_out_ptr0,deepseek8b,128,FORWARD,rsqrt,TRITON,forward:graph0:rsqrt_38,true,NORMAL_REFERENCE,NORMAL_REFERENCE_NO_COHERENT_F_B_CARRIER,,,hypothesis_matrix.json; math_proof_row_sha256=acf3ff4b8bc260e5b73976b74ef35ddad7e6263a047172c6b5c66f31fe8f25c7,true,Formation has not been measured; legacy labels are not formation labels.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
